"Query","Titulo","DOI","Revista","Abstract"
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Research on imaging method of gas-liquid interface in aerospace propellant tanks based on ultrasonic tomography","10.1088/1361-6501/adcce5","Scopus","  The world has seen in 2020 an unprecedented global outbreak of SARS-CoV-2, a new strain of coronavirus, causing the COVID-19 pandemic, and radically changing our lives and work conditions. Many scientists are working tirelessly to find a treatment and a possible vaccine. Furthermore, governments, scientific institutions and companies are acting quickly to make resources available, including funds and the opening of large-volume data repositories, to accelerate innovation and discovery aimed at solving this pandemic. In this paper, we develop a novel automated theme-based visualisation method, combining advanced data modelling of large corpora, information mapping and trend analysis, to provide a top-down and bottom-up browsing and search interface for quick discovery of topics and research resources. We apply this method on two recently released publications datasets (Dimensions' COVID-19 dataset and the Allen Institute for AI's CORD-19). The results reveal intriguing information including increased efforts in topics such as social distancing; cross-domain initiatives (e.g. mental health and education); evolving research in medical topics; and the unfolding trajectory of the virus in different territories through publications. The results also demonstrate the need to quickly and automatically enable search and browsing of large corpora. We believe our methodology will improve future large volume visualisation and discovery systems but also hope our visualisation interfaces will currently aid scientists, researchers, and the general public to tackle the numerous issues in the fight against the COVID-19 pandemic. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Capacitive and Non-Contact Liquid Level Detection Sensor Based on Interdigitated Electrodes with Flexible Substrate","10.3390/electronics13112228","Scopus","Achieving accurate and high-sensitivity liquid level detection in medical instruments has always been a knotty task. In this paper, a high-precision, non-contact, flexible capacitive liquid level sensor is proposed, aiming to apply capacitive sensors in test tube liquid level measurement and improving the sensitivity of real-time liquid level sensors. The simulation study is conducted using ANSYS Maxwell and demonstrates the correlation between test tube thickness and sensitivity. A geometric model of the test container and sensing electrodes is established to optimize the design strategy for the physical dimensions of the sensor’s interdigitated (IDT) electrodes based on a flexible printed circuit (FPC). The hardware and software designs are completed based on the FDC2214 capacitive-to-digital converter to collect the capacitance variation data of the sensing electrodes accurately. To assess the system’s performance, an experimental platform for a liquid level sensor system has been constructed, facilitating the measurement, communication, processing, and visualization of liquid levels. The performance results demonstrate that the system is capable of accurately measuring the effective liquid level range within a standard 5 mL test tube with a resolution of up to 1 mm, as well as a sensitivity of 78.68 fF/mm, verifying the simulation results and exhibiting excellent linearity."
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Noninvasive Flow Bubble Detection for Small Pipes Based on Piezoelectric Micromachined Ultrasonic Transducers","10.1109/NEMS60219.2024.10639848","Scopus","Ultrasonic flow bubble detection plays a significant role in industrial control and chemical production, as it enables noninvasive monitoring of hydraulic systems, oil degradation, and the progression of chemical reactions. However, the conventional bulk PZT ultrasonic transducers currently employed for bubble detection are characterized by their large size and limited integration capabilities with integrated circuits (ICs). This constrains their application for real-time and long-term monitoring in small-diameter pipes. This study highlights the potential of piezoelectric micromachined ultrasonic transducers (PMUTs) for real-time bubble detection in small pipes based on the principle of acoustic energy attenuation. The operating frequency of PMUTs has been theoretically optimized to enhance the performance of bubble sensing. Our fabricated PMUTs chips successfully measured bubbles in water, indicating an excellent linear relationship between the received voltages and bubble diameters within the 1-5 mm. Additionally, subsequent research indicates that environmental conditions, including temperature and flow medium types, have negligible impact on the bubble measurement. These results demonstrate the robustness of MUTs-based ultrasonic bubble detection techniques."
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Noninvasive fluid bubble detection based on capacitive micromachined ultrasonic transducers","10.1038/s41378-023-00491-6","Scopus","Ultrasonic fluid bubble detection is important in industrial controls, aerospace systems and clinical medicine because it can prevent fatal mechanical failures and threats to life. However, current ultrasonic technologies for bubble detection are based on conventional bulk PZT-based transducers, which suffer from large size, high power consumption and poor integration with ICs and thus are unable to implement real-time and long-term monitoring in tight physical spaces, such as in extracorporeal membrane oxygenation (ECMO) systems and dialysis machines or hydraulic systems in aircraft. This work highlights the prospect of capacitive micromachined ultrasonic transducers (CMUTs) in the aforementioned application situations based on the mechanism of received voltage variation caused by bubble-induced acoustic energy attenuation. The corresponding theories are established and well validated using finite element simulations. The fluid bubbles inside a pipe with a diameter as small as 8 mm are successfully measured using our fabricated CMUT chips with a resonant frequency of 1.1 MHz. The received voltage variation increases significantly with increasing bubble radii in the range of 0.5–2.5 mm. Further studies show that other factors, such as bubble positions, flow velocities, fluid medium types, pipe thicknesses and diameters, have negligible effects on fluid bubble measurement, demonstrating the feasibility and robustness of the CMUT-based ultrasonic bubble detection technique."
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Improved phase fraction measurement via non-intrusive optical sensing for vertical upward gas -liquid flow","10.1016/j.jgsce.2023.204948","Scopus","  In a previous work we have demonstrated the feasibility of high-frame-rate, fast-neutron radiography of generic air-water two-phase flows in a 1.5 cm thick, rectangular flow channel. The experiments have been carried out at the high-intensity, white-beam facility of the Physikalisch-Technische Bundesanstalt, Germany, using an multi-frame, time-resolved detector developed for fast neutron resonance radiography. The results were however not fully optimal and therefore we have decided to modify the detector and optimize it for the given application, which is described in the present work. Furthermore, we managed to improve the image post-processing methodology and the noise suppression. Using the tailored detector and the improved post-processing significant increase in the image quality and an order of magnitude lower exposure times, down to 3.33 ms, have been achieved with minimized motion artifacts. Similar to the previous study, different two-phase flow regimes such as bubbly slug and churn flows have been examined. The enhanced imaging quality enables an improved prediction of two-phase flow parameters like the instantaneous volumetric gas fraction, bubble size and bubble velocities. Instantaneous velocity fields around the gas enclosures can also be more robustly predicted using optical flow methods as previously. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Bubble-Templated Design of Superelastic Cellulose Foam as a Durable Ionotropic Sensor","10.1021/acssuschemeng.1c07830.s001","CrossRef","  Flexible pressure sensors are an attractive area of research due to their potential applications in biomedical sensing and wearable devices. Among flexible and wearable pressure sensors, capacitive pressure sensors show significant advantages, owing to their potential low cost, ultra-low power consumption, tolerance to temperature variations, high sensitivity, and low hysteresis. In this work, we develop capacitive flexible pressure sensors using graphene based conductive foams. In these soft and porous conductive foams, graphene is present either as a coating of the pores in the foam, inside the structure of the foam itself, or a combination of both. We demonstrate that they are durable and sensitive at low pressure ranges (<10 kPa). Systematic analysis of the different pressure sensors revealed that the porous foams with graphene coated pores are the most sensitive (~ 0.137/kPa) in the pressure range 0-6kPa. Additionally, we achieved very low limit of detection of 0.14 Pa, which is one of the lowest values reported. Further, we demonstrated the potential applications of our pressure sensors by showing detection of weak physiological signals of the body. Our work is highly relevant for research in flexible pressure sensors based on conductive foams as it shows the impact of different ways of incorporating conductive material on performance of pressure sensors. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Bubble and foam chemistry - new areas of foam research","10.1017/cbo9781316106938.013","CrossRef","  The physics of foams and emulsions has traditionally been studied using bulk foam/emulsion tests and single film platforms such as the Scheludko cell. Recently there has been a renewed interest in a third class of techniques that we term as single bubble/drop tests, which employ isolated whole bubbles and drops to probe the characteristics of foams and emulsions. Single bubble and drop techniques provide a convenient framework for investigating a number of important characteristics of foams and emulsions, including the rheology, stabilization mechanisms, and rupture dynamics. In this review we provide a comprehensive discussion of the various single bubble/drop platforms and the associated experimental measurement protocols including the construction of coalescence time distributions, visualization of the thin film profiles and characterization of the interfacial rheological properties. Subsequently, we summarize the recent developments in foam and emulsion science with a focus on the results obtained through single bubble/drop techniques. We conclude the review by presenting important venues for future research. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Three-Dimensional Binary-Conductive-Network Silver Nanowires@Thiolated Graphene Foam-Based Room-Temperature Self-Healable Strain Sensor for Human Motion Detection","10.1021/acsami.0c13442.s001","CrossRef","  Flexible strain sensors are critical to several potential intelligent applications, such as human-machine interfaces, soft robotics, human motion detection, and safety monitoring of components. Stretchable functional materials are important components of strain sensors, and they are still major challenges for high performance strain sensors. Herein, we demonstrate a novel strategy of designing and optimizing flexible strain sensor by developing topological structure modulated high permittivity elastic nanocomposite. The topological structure with three-phase percolative nano-nanonetworks produces synergistic effects of space charge enhancement and local electric field modulation, and it gives rise to an ultrahigh dielectric permittivity (113.4, at 1 kHz, over 1500% enhancement than that of commercial elastic polyurethane matrix) and excellent comprehensive electromechanical performance, and the optimal comprehensive electromechanical performance reaches to 542.91 MPa-1, which is over 9-fold than that of commercial polyurethane elastic film. An interdigital capacitive strain sensor is designed using the topological structured elastic dielectric nanocomposite. It possesses high initial capacitance density and positive capacitance response with stain, achieving high signal-to-noise ratio, high capacitance response sensitivity, and wide linear range, and it breaks through disadvantages of negative sensitivity and narrow linear range for conventional interdigital strain sensors. The prepared integrated strain sensor arrays are able to measure local strain of convoluted surfaces and monitor the motion of soft actuators in real time, and they would make conditions for intelligent control systems and the study of morphological intelligence. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Nickel Foam-Decorated Hollow-Co3o4/Go Nanocomposites a Highly Sensitive Non-Enzymatic Electrochemical Sensor for Glucose Detection","10.2139/ssrn.4717133","CrossRef","  A novel mediator-free, non-enzymatic electrochemical sensor, based on a graphene-Schottky junction, was fabricated for glucose detection. The sensor offers a promising alternative to the conventional enzyme-catalyzed electrochemical continuous glucose monitoring systems (CGM), as it overcomes many of the drawbacks attributed to the enzymatic nature; namely, irreversibility, drift, and interference with body fluids, which affect their accuracy, reliability and longevity. Enhanced performance of the sensors is demonstrated through the band interaction at the graphene-Schottky junction, which yields stronger forward/reverse currents in response to 50 {\mu}L glucose drop. Under optimized conditions, the linear response of the sensor to glucose concentration was valid in the range from 0 to 15 mmol/L with a detection limit of 0.5 mmol/L. The results indicated that the proposed sensor provided a highly sensitive, more facile method with good reproducibility for continuous glucose detection. "
"(""foam detection"" OR ""bubble detection"" OR ""foam sensing"") AND (""ultrasonic sensor"" OR ""ultrasound sensor"")","Bubble size measurements and foam test methods","10.1017/cbo9781316106938.012","CrossRef","“…When you can measure what you are speaking about, and express it in numbers, you know something about it, but when you cannot express it in numbers, your knowledge is of a meager and unsatisfactory kind….” Lord Kelvin, Electrical Units of Measurements, 3 May, 1883. (zapatopi.net/kelvin/quotes). Introduction Several non-intrusive analytical techniques have been used to provide information on bubble size distributions, gas fraction, texture and general characteristics of foams. Some of these are relatively simple optical methods, but with the application of image and video analysis, the changes in bubble size and texture of 2D foams can be fairly easily studied during ageing. This information can be useful, but since the rate of deterioration of a wet foam depends on the kinetics of coalescence, drainage and gas diffusion, it is sometimes difficult to separate these events and to resolve the main destabilization mechanism. Bisperink and coworkers (1) reviewed how the variation in 2D bubble size distribution in aging foams may be related to drainage, coalescence and the disproportionation process. Although microscopy can be conveniently used to study 2D foams, more complex techniques based on tomography have been applied to probe the interior and to measure bubble size distribution on 3D foams. The processing of the data usually involves three steps: image acquisition, image processing and data extraction. 3D imaging techniques such as nuclear magnetic resonance imaging (NMRI) or X-ray computerized tomography can be used to develop a scale model in a computer memory. Based on these models the relationship between physical properties and the structure of solid foams can be established. UV, NMR and ultrasonic reflection methods have also been used, but overall it is still difficult to characterize bubble size and liquid fraction in real 3D foams, and hence most investigations are carried on quasi-2D foams. Although wet foams are unstable, the kinetics of breakdown can range from seconds to weeks, and this has resulted in the development of many different types of test methods for measuring foam stability. Overall, stability tests may be broadly classified as (a) dynamic tests, which measure the height or volume of the foam in a state of dynamic equilibrium between formation and decay, and (b) static tests, in which the rate of foam formation is zero (the gas flow into the liquid is eliminated) and the foam is allowed to collapse."
